,Номенклатура,КлассТовара
301,67a151b9-bc5b-11de-bd70-00151716f9f5,Средне продаваемый
302,093b3d71-e7e4-11e0-ab68-001517c526f0,Средне продаваемый
303,67a151ae-bc5b-11de-bd70-00151716f9f5,Средне продаваемый
304,d53109c0-d1c3-11e0-bc27-001517c526f0,Средне продаваемый
305,b2f27c6a-e2c0-11dd-af6f-00151716f9f5,Средне продаваемый
306,b5738712-b0ef-11e0-b5a2-00155d030b07,Средне продаваемый
307,04cc7b39-8427-11db-9e4d-00173147c81e,Средне продаваемый
308,9a59dc04-bba2-11da-ab47-0002b3552d75,Средне продаваемый
309,bc70045a-bba2-11da-ab47-0002b3552d75,Средне продаваемый
310,1967202b-8574-11df-bdbd-001517c526f0,Средне продаваемый
311,84315802-631c-11db-9b21-00173147c81e,Средне продаваемый
312,80f5ce88-5e46-11db-a5f0-00001a1933df,Средне продаваемый
313,d53109bf-d1c3-11e0-bc27-001517c526f0,Средне продаваемый
314,1671af2f-8675-11e0-bc98-00155d030b07,Средне продаваемый
315,d75996f4-a438-11db-a40b-00001a1933df,Средне продаваемый
316,86edb9ae-797d-11e1-84e2-001517c526f0,Средне продаваемый
317,f8667b65-919c-11dc-a1f0-00151716f9f5,Средне продаваемый
318,daef7d04-a3f2-11de-8bef-00151716f9f5,Средне продаваемый
319,499645fd-66f3-11e0-b057-001517c526f0,Средне продаваемый
320,2813f9e5-92d4-11df-ac78-001517c526f0,Средне продаваемый
321,3da2c72b-d0c7-11dd-9625-00151716f9f5,Средне продаваемый
322,8e6cdef6-797d-11e1-84e2-001517c526f0,Средне продаваемый
323,2d0ff9b7-bba3-11da-ab47-0002b3552d75,Средне продаваемый
324,0d2c576d-f55f-11dc-ba43-00151716f9f5,Средне продаваемый
325,59b0fd9c-bba3-11da-ab47-0002b3552d75,Средне продаваемый
326,0ba0ed58-07ff-11db-873b-0002b3552d75,Средне продаваемый
327,6e5b7386-90a8-11df-86b0-001517c526f0,Средне продаваемый
328,7fd9ecee-5e47-11df-9f4c-001517c526f1,Средне продаваемый
329,237fbecb-4863-11df-bc79-001517c526f1,Средне продаваемый
330,fbc5d172-0d4b-11db-a026-0002b3552d75,Средне продаваемый
